not enough args for isData
19-Oct-2021 12:05:38 CDT  Initiating request to open file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
19-Oct-2021 12:05:39 CDT  Successfully opened file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
*** Quark with (eta,phi,pt) = -33.9356,	1.96571,	1.38178e-12
    HCAL (ieta,iphi) = -390.565,	23.0944
    ECAL (ieta,iphi) = -1939.68,	122.826
*** Quark with (eta,phi,pt) = 2.47865,	0.0920534,	1.98026
    HCAL (ieta,iphi) = 28.9903,	1.55808
    ECAL (ieta,iphi) = 142.137,	15.7602
*** Quark with (eta,phi,pt) = 2.12397,	-1.15517,	1.37443
    HCAL (ieta,iphi) = 24.9135,	-12.7778
    ECAL (ieta,iphi) = 121.87,	-55.5095
*** Quark with (eta,phi,pt) = -1.80651,	1.65258,	1.2112
    HCAL (ieta,iphi) = -21.2645,	19.4951
    ECAL (ieta,iphi) = -103.729,	104.933
*** Quark with (eta,phi,pt) = 2.47863,	0.0920637,	1.95738
    HCAL (ieta,iphi) = 28.99,	1.5582
    ECAL (ieta,iphi) = 142.136,	15.7608
*** Quark with (eta,phi,pt) = 2.13867,	-1.15473,	1.29447
    HCAL (ieta,iphi) = 25.0824,	-12.7728
    ECAL (ieta,iphi) = 122.71,	-55.4848
*** Quark with (eta,phi,pt) = -44.0579,	3.14159,	5.55112e-17
    HCAL (ieta,iphi) = -506.913,	36.6103
    ECAL (ieta,iphi) = -2518.1,	190.02
*** Quark with (eta,phi,pt) = 0.775734,	1.52502,	77.2933
    HCAL (ieta,iphi) = 9.41648,	18.0289
    ECAL (ieta,iphi) = 44.8277,	97.6439
*** Quark with (eta,phi,pt) = 2.16741,	1.09474,	4.04056
    HCAL (ieta,iphi) = 25.4128,	13.0833
    ECAL (ieta,iphi) = 124.352,	73.0568
*** Quark with (eta,phi,pt) = 1.53534,	0.190235,	2.57327
    HCAL (ieta,iphi) = 18.1476,	2.6866
    ECAL (ieta,iphi) = 88.234,	21.3705
